Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,id
2021-06-06,Falcon 9,7000.0,GTO,CCSFS SLC 40,True - ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1061,-80.577366,28.5618571,5fe3af6db3467846b3242160
2021-06-17,Falcon 9,3681.0,MEO,CCSFS SLC 40,True - ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8,B1062,-80.577366,28.5618571,5eb87d4effd86e000604b390
2021-06-30,Falcon 9,,SSO,CCSFS SLC 40,True - RTLS,8,True,True,True,5e9e3032383ecb267a34e7c7,5.0,12,B1060,-80.577366,28.5618571,600f9b6d8f798e2a4d5f979f
2021-08-29,Falcon 9,,ISS,KSC LC 39A,True - ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,9,B1061,-80.6039558,28.6080585,5fe3b11eb3467846b324216c
2021-09-14,Falcon 9,15600.0,PO,VAFB SLC 4E,True - ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-120.610829,34.632093,60e3bf0d73359e1e20335c37
2021-09-16,Falcon 9,,LEO,KSC LC 39A,True - ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8,B1062,-80.6039558,28.6080585,607a37565a906a44023e0866
2021-11-11,Falcon 9,12519.0,ISS,KSC LC 39A,True - ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,5,B1067,-80.6039558,28.6080585,5fe3b15eb3467846b324216d
2021-11-13,Falcon 9,13260.0,LEO,CCSFS SLC 40,True - ASDS,9,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13,B1058,-80.577366,28.5618571,618faad2563d69573ed8ca9d
2021-11-24,Falcon 9,670.0,TLI,VAFB SLC 4E,True - ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1063,-120.610829,34.632093,5fe3b107b3467846b324216b
2021-12-01,Falcon 9,13260.0,PO,CCSFS SLC 40,True - ASDS,9,True,True,True,5e9e3033383ecb075134e7cd,5.0,12,B1060,-80.577366,28.5618571,6161c94c6db1a92bfba85349
2021-12-09,Falcon 9,330.0,LEO,KSC LC 39A,True - ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1061,-80.6039558,28.6080585,6161c88d6db1a92bfba85348
2021-12-18,Falcon 9,13260.0,PO,VAFB SLC 4E,True - ASDS,11,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-120.610829,34.632093,61bba806437241381bf7061e
2021-12-19,Falcon 9,3500.0,GTO,CCSFS SLC 40,True - ASDS,3,True,True,True,5e9e3033383ecb075134e7cd,5.0,5,B1067,-80.577366,28.5618571,5fe3afc1b3467846b3242164
2021-12-21,Falcon 9,,ISS,KSC LC 39A,True - ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,1,B1069,-80.6039558,28.6080585,6161d2006db1a92bfba85356
2022-01-06,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,8,B1062,-80.6039558,28.6080585,61d5eca1f88e4c5fc91f1eb7
2022-01-13,Falcon 9,,LEO,CCSFS SLC 40,True - RTLS,10,True,True,True,5e9e3032383ecb267a34e7c7,5.0,13,B1058,-80.577366,28.5618571,61bf3e31cd5ab50b0d936345
2022-01-19,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,10,True,True,True,5e9e3033383ecb075134e7cd,5.0,12,B1060,-80.6039558,28.6080585,61e048bbbe8d8b66799018d0
